score	n	ineditismo	poder	familias	datasets_sugeridos
0.833	4	0.83	5544	desmatamento_clima+fiscal_municipal+fundiario+mobilidade	br_inpe_sisam, br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	desmatamento_clima+fiscal_municipal+mobilidade+politica	br_inpe_sisam, br_rf_arrecadacao, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	desmatamento_clima+fiscal_municipal+mobilidade+transferencia_renda	br_inpe_sisam, br_rf_arrecadacao, br_mobilidados_indicadores, br_mc_indicadores
0.833	4	0.83	5544	desmatamento_clima+fundiario+mobilidade+politica	br_inpe_sisam, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	desmatamento_clima+fundiario+mobilidade+transferencia_renda	br_inpe_sisam, br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores
0.833	4	0.83	5544	desmatamento_clima+mobilidade+politica+saneamento_agua	br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
0.833	4	0.83	5544	desmatamento_clima+mobilidade+politica+transferencia_renda	br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes, br_mc_indicadores
0.833	4	0.83	5544	desmatamento_clima+mobilidade+saneamento_agua+transferencia_renda	br_inpe_sisam, br_mobilidados_indicadores, br_ana_outorgas, br_mc_indicadores
0.833	4	0.83	5544	educacao+fiscal_municipal+fundiario+mobilidade	br_inep_saeb, br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5544	educacao+fundiario+mobilidade+politica	br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	educacao+fundiario+mobilidade+transferencia_renda	br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores
0.833	4	0.83	5544	educacao+mobilidade+politica+saneamento_agua	br_inep_saeb, br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
0.833	4	0.83	5544	educacao+mobilidade+saneamento_agua+transferencia_renda	br_inep_saeb, br_mobilidados_indicadores, br_ana_outorgas, br_mc_indicadores
0.833	4	0.83	5544	fiscal_municipal+fundiario+mobilidade+politica	br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5544	fiscal_municipal+fundiario+mobilidade+saneamento_agua	br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5544	fiscal_municipal+fundiario+mobilidade+transferencia_renda	br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores
0.833	4	0.83	5544	fundiario+mobilidade+politica+transferencia_renda	br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes, br_mc_indicadores
0.833	4	0.83	5544	mobilidade+politica+saneamento_agua+transferencia_renda	br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas, br_mc_indicadores
0.833	4	0.83	5522	agropecuaria+credito_financeiro+mobilidade+politica	br_ibge_ppm, br_bcb_sicor, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5522	credito_financeiro+desmatamento_clima+mobilidade+politica	br_bcb_sicor, br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5522	credito_financeiro+educacao+mobilidade+saneamento_agua	br_bcb_sicor, br_inep_saeb, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5522	credito_financeiro+fundiario+mobilidade+politica	br_bcb_sicor, br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
0.833	4	0.83	5522	credito_financeiro+fundiario+mobilidade+saneamento_agua	br_bcb_sicor, br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5522	credito_financeiro+fundiario+politica+saneamento_agua	br_bcb_sicor, br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas
0.833	4	0.83	5522	credito_financeiro+mobilidade+saneamento_agua+transferencia_renda	br_bcb_sicor, br_mobilidados_indicadores, br_ana_outorgas, br_mc_indicadores
