familias	n_familias	ocorrencias	origens
fiscalizacao_ambiental+transferencia_renda	2	1	P72-5
administracao+sancao_integridade	2	1	P73-3
fiscalizacao_ambiental+politica	2	1	P74-4
politica+sancao_integridade	2	1	P74-5
comercio_exterior+trabalho_empresa+transferencia_renda	3	1	P77-1
compras_publicas+mortalidade+saude_producao	3	1	P77-2
compras_publicas+politica+sancao_integridade	3	1	P77-3
conectividade+educacao+politica	3	1	P77-2
mobilidade+precos_indices	2	1	H?
demografia_censo+sancao_integridade+seguranca	3	1	H?
educacao+natalidade+trabalho_empresa+transferencia_renda	4	1	HH44
fiscal_municipal+mineracao_energia	2	1	H?
conectividade+demografia_censo+desmatamento_clima+mortalidade+trabalho_empresa	5	1	H?
compras_publicas+credito_financeiro+demografia_censo+desmatamento_clima+fiscalizacao_ambiental+fundiario+mineracao_energia+saude_producao	8	1	H?
compras_publicas+cultura_consumo+demografia_censo+educacao+sancao_integridade+trabalho_empresa+transferencia_renda	7	1	H?
compras_publicas+educacao+fiscal_municipal+mineracao_energia+natalidade+politica+saude_producao+trabalho_empresa+transferencia_renda	9	1	H?
administracao+fiscal_municipal+justica+precos_indices+saneamento_agua	5	1	H?
fiscal_municipal+politica	2	1	HH25
compras_publicas+justica+sancao_integridade	3	1	HH29
mortalidade+trabalho_empresa+vigilancia_sinan	3	1	AC3
educacao+transferencia_renda	2	1	AC4
saude_producao+trabalho_empresa+transferencia_renda	3	1	AC5
seguranca+trabalho_empresa	2	1	AD2
credito_financeiro+educacao+trabalho_empresa+transferencia_renda	4	1	AE2
