n	familias	poder_min_municipios	coberta_por
3	desmatamento_clima+saneamento_agua+saude_producao	5570	
3	desmatamento_clima+saneamento_agua+trabalho_empresa	5570	
3	desmatamento_clima+saneamento_agua+transferencia_renda	5570	
3	desmatamento_clima+saude_producao+trabalho_empresa	5570	
3	desmatamento_clima+saude_producao+transferencia_renda	5570	
3	desmatamento_clima+trabalho_empresa+transferencia_renda	5570	
3	educacao+fiscal_municipal+mortalidade	5570	
3	educacao+fiscal_municipal+politica	5570	H?
3	educacao+fiscal_municipal+saneamento_agua	5570	
3	educacao+fiscal_municipal+saude_producao	5570	H?
3	educacao+fiscal_municipal+trabalho_empresa	5570	H?
3	educacao+fiscal_municipal+transferencia_renda	5570	H?
3	educacao+mortalidade+politica	5570	
3	educacao+mortalidade+saude_producao	5570	
3	educacao+mortalidade+trabalho_empresa	5570	
3	educacao+mortalidade+transferencia_renda	5570	
3	educacao+politica+saneamento_agua	5570	
3	educacao+politica+saude_producao	5570	H?
3	educacao+politica+trabalho_empresa	5570	H?
3	educacao+politica+transferencia_renda	5570	H?
3	educacao+saneamento_agua+saude_producao	5570	
3	educacao+saneamento_agua+trabalho_empresa	5570	
3	educacao+saneamento_agua+transferencia_renda	5570	
3	educacao+saude_producao+trabalho_empresa	5570	H?
3	educacao+saude_producao+transferencia_renda	5570	H?
3	educacao+trabalho_empresa+transferencia_renda	5570	HH44
3	fiscal_municipal+mortalidade+politica	5570	
3	fiscal_municipal+mortalidade+saneamento_agua	5570	
3	fiscal_municipal+mortalidade+saude_producao	5570	
3	fiscal_municipal+mortalidade+trabalho_empresa	5570	
3	fiscal_municipal+mortalidade+transferencia_renda	5570	
3	fiscal_municipal+politica+saneamento_agua	5570	
3	fiscal_municipal+politica+saude_producao	5570	H?
3	fiscal_municipal+politica+trabalho_empresa	5570	H?
3	fiscal_municipal+politica+transferencia_renda	5570	H?
3	fiscal_municipal+saneamento_agua+saude_producao	5570	
3	fiscal_municipal+saneamento_agua+trabalho_empresa	5570	
3	fiscal_municipal+saneamento_agua+transferencia_renda	5570	
3	fiscal_municipal+saude_producao+trabalho_empresa	5570	H?
3	fiscal_municipal+saude_producao+transferencia_renda	5570	H?
3	fiscal_municipal+trabalho_empresa+transferencia_renda	5570	P69-1
3	mortalidade+politica+saneamento_agua	5570	
3	mortalidade+politica+saude_producao	5570	P27-5
3	mortalidade+politica+trabalho_empresa	5570	
3	mortalidade+politica+transferencia_renda	5570	
3	mortalidade+saneamento_agua+saude_producao	5570	
3	mortalidade+saneamento_agua+trabalho_empresa	5570	
3	mortalidade+saneamento_agua+transferencia_renda	5570	
3	mortalidade+saude_producao+trabalho_empresa	5570	P09-4
3	mortalidade+saude_producao+transferencia_renda	5570	
3	mortalidade+trabalho_empresa+transferencia_renda	5570	P03-3
3	politica+saneamento_agua+saude_producao	5570	
3	politica+saneamento_agua+trabalho_empresa	5570	
3	politica+saneamento_agua+transferencia_renda	5570	
3	politica+saude_producao+trabalho_empresa	5570	P27-2
3	politica+saude_producao+transferencia_renda	5570	H?
3	politica+trabalho_empresa+transferencia_renda	5570	H?
3	saneamento_agua+saude_producao+trabalho_empresa	5570	P79-3
3	saneamento_agua+saude_producao+transferencia_renda	5570	
3	saneamento_agua+trabalho_empresa+transferencia_renda	5570	
3	saude_producao+trabalho_empresa+transferencia_renda	5570	H?
3	agropecuaria+conectividade+demografia_censo	5567	
3	agropecuaria+conectividade+desmatamento_clima	5567	
3	agropecuaria+conectividade+educacao	5567	
3	agropecuaria+conectividade+fiscal_municipal	5567	
3	agropecuaria+conectividade+mortalidade	5567	
3	agropecuaria+conectividade+politica	5567	
3	agropecuaria+conectividade+saneamento_agua	5567	
3	agropecuaria+conectividade+saude_producao	5567	
3	agropecuaria+conectividade+trabalho_empresa	5567	
3	agropecuaria+conectividade+transferencia_renda	5567	
3	agropecuaria+demografia_censo+desmatamento_clima	5567	
3	agropecuaria+demografia_censo+educacao	5567	
3	agropecuaria+demografia_censo+fiscal_municipal	5567	
3	agropecuaria+demografia_censo+mortalidade	5567	
3	agropecuaria+demografia_censo+politica	5567	
3	agropecuaria+demografia_censo+saneamento_agua	5567	
3	agropecuaria+demografia_censo+saude_producao	5567	
3	agropecuaria+demografia_censo+trabalho_empresa	5567	
3	agropecuaria+demografia_censo+transferencia_renda	5567	
3	agropecuaria+desmatamento_clima+educacao	5567	
3	agropecuaria+desmatamento_clima+fiscal_municipal	5567	
3	agropecuaria+desmatamento_clima+mortalidade	5567	
3	agropecuaria+desmatamento_clima+politica	5567	
3	agropecuaria+desmatamento_clima+saneamento_agua	5567	
3	agropecuaria+desmatamento_clima+saude_producao	5567	
3	agropecuaria+desmatamento_clima+trabalho_empresa	5567	
3	agropecuaria+desmatamento_clima+transferencia_renda	5567	
3	agropecuaria+educacao+fiscal_municipal	5567	
3	agropecuaria+educacao+mortalidade	5567	
3	agropecuaria+educacao+politica	5567	
3	agropecuaria+educacao+saneamento_agua	5567	
3	agropecuaria+educacao+saude_producao	5567	
3	agropecuaria+educacao+trabalho_empresa	5567	
3	agropecuaria+educacao+transferencia_renda	5567	
3	agropecuaria+fiscal_municipal+mortalidade	5567	
3	agropecuaria+fiscal_municipal+politica	5567	
3	agropecuaria+fiscal_municipal+saneamento_agua	5567	
3	agropecuaria+fiscal_municipal+saude_producao	5567	
3	agropecuaria+fiscal_municipal+trabalho_empresa	5567	P16-3
3	agropecuaria+fiscal_municipal+transferencia_renda	5567	
3	agropecuaria+mortalidade+politica	5567	
3	agropecuaria+mortalidade+saneamento_agua	5567	
3	agropecuaria+mortalidade+saude_producao	5567	
3	agropecuaria+mortalidade+trabalho_empresa	5567	P78-2
3	agropecuaria+mortalidade+transferencia_renda	5567	
3	agropecuaria+politica+saneamento_agua	5567	
3	agropecuaria+politica+saude_producao	5567	
3	agropecuaria+politica+trabalho_empresa	5567	
3	agropecuaria+politica+transferencia_renda	5567	
3	agropecuaria+saneamento_agua+saude_producao	5567	
3	agropecuaria+saneamento_agua+trabalho_empresa	5567	P44-5
3	agropecuaria+saneamento_agua+transferencia_renda	5567	
3	agropecuaria+saude_producao+trabalho_empresa	5567	
3	agropecuaria+saude_producao+transferencia_renda	5567	
3	agropecuaria+trabalho_empresa+transferencia_renda	5567	P78-1
3	agropecuaria+conectividade+fundiario	5559	
3	agropecuaria+demografia_censo+fundiario	5559	
3	agropecuaria+desmatamento_clima+fundiario	5559	P10-2
3	agropecuaria+educacao+fundiario	5559	
3	agropecuaria+fiscal_municipal+fundiario	5559	
3	agropecuaria+fundiario+mortalidade	5559	
3	agropecuaria+fundiario+politica	5559	
3	agropecuaria+fundiario+saneamento_agua	5559	
3	agropecuaria+fundiario+saude_producao	5559	
3	agropecuaria+fundiario+trabalho_empresa	5559	
3	agropecuaria+fundiario+transferencia_renda	5559	
3	conectividade+demografia_censo+fundiario	5559	
3	conectividade+desmatamento_clima+fundiario	5559	
3	conectividade+educacao+fundiario	5559	
3	conectividade+fiscal_municipal+fundiario	5559	
3	conectividade+fundiario+mortalidade	5559	
3	conectividade+fundiario+politica	5559	
3	conectividade+fundiario+saneamento_agua	5559	
3	conectividade+fundiario+saude_producao	5559	
3	conectividade+fundiario+trabalho_empresa	5559	
3	conectividade+fundiario+transferencia_renda	5559	
3	demografia_censo+desmatamento_clima+fundiario	5559	H?
3	demografia_censo+educacao+fundiario	5559	
3	demografia_censo+fiscal_municipal+fundiario	5559	
3	demografia_censo+fundiario+mortalidade	5559	
3	demografia_censo+fundiario+politica	5559	
3	demografia_censo+fundiario+saneamento_agua	5559	
3	demografia_censo+fundiario+saude_producao	5559	H?
3	demografia_censo+fundiario+trabalho_empresa	5559	
3	demografia_censo+fundiario+transferencia_renda	5559	
3	desmatamento_clima+educacao+fundiario	5559	
3	desmatamento_clima+fiscal_municipal+fundiario	5559	
3	desmatamento_clima+fundiario+mortalidade	5559	
3	desmatamento_clima+fundiario+politica	5559	
3	desmatamento_clima+fundiario+saneamento_agua	5559	
3	desmatamento_clima+fundiario+saude_producao	5559	H?
3	desmatamento_clima+fundiario+trabalho_empresa	5559	
3	desmatamento_clima+fundiario+transferencia_renda	5559	
3	educacao+fiscal_municipal+fundiario	5559	
3	educacao+fundiario+mortalidade	5559	
3	educacao+fundiario+politica	5559	
3	educacao+fundiario+saneamento_agua	5559	
3	educacao+fundiario+saude_producao	5559	
3	educacao+fundiario+trabalho_empresa	5559	
3	educacao+fundiario+transferencia_renda	5559	
3	fiscal_municipal+fundiario+mortalidade	5559	
3	fiscal_municipal+fundiario+politica	5559	
3	fiscal_municipal+fundiario+saneamento_agua	5559	
3	fiscal_municipal+fundiario+saude_producao	5559	
3	fiscal_municipal+fundiario+trabalho_empresa	5559	
3	fiscal_municipal+fundiario+transferencia_renda	5559	
3	fundiario+mortalidade+politica	5559	
3	fundiario+mortalidade+saneamento_agua	5559	
3	fundiario+mortalidade+saude_producao	5559	
3	fundiario+mortalidade+trabalho_empresa	5559	
3	fundiario+mortalidade+transferencia_renda	5559	
3	fundiario+politica+saneamento_agua	5559	
3	fundiario+politica+saude_producao	5559	
